dim,icc,stream,category
0,0.9718973,acc_mean,good
1,0.9777009,acc_mean,good
2,0.95461583,acc_mean,good
3,0.97405046,acc_mean,good
4,0.9139207,acc_mean,good
5,0.9844889,acc_mean,good
6,0.9715697,acc_mean,good
7,0.93172336,acc_mean,good
8,0.96296626,acc_mean,good
9,0.9666374,acc_mean,good
10,0.98240626,acc_mean,good
11,0.98418045,acc_mean,good
12,0.9231333,acc_mean,good
13,0.97085017,acc_mean,good
14,0.9819337,acc_mean,good
15,0.96860385,acc_mean,good
16,0.97507846,acc_mean,good
17,0.97369117,acc_mean,good
18,0.95814127,acc_mean,good
19,0.9712274,acc_mean,good
20,0.9383738,acc_mean,good
21,0.9609001,acc_mean,good
22,0.9551345,acc_mean,good
23,0.95492005,acc_mean,good
24,0.9719035,acc_mean,good
25,0.9796985,acc_mean,good
26,0.9646105,acc_mean,good
27,0.97772235,acc_mean,good
28,0.93661,acc_mean,good
29,0.9693929,acc_mean,good
30,0.9773144,acc_mean,good
31,0.94749385,acc_mean,good
32,0.96728027,acc_mean,good
33,0.97843146,acc_mean,good
34,0.94606596,acc_mean,good
35,0.98332214,acc_mean,good
36,0.96831465,acc_mean,good
37,0.9725337,acc_mean,good
38,0.97558886,acc_mean,good
39,0.984948,acc_mean,good
40,0.96937823,acc_mean,good
41,0.97504634,acc_mean,good
42,0.97011894,acc_mean,good
43,0.95450646,acc_mean,good
44,0.98424447,acc_mean,good
45,0.975294,acc_mean,good
46,0.8930136,acc_mean,good
47,0.9843622,acc_mean,good
48,0.96506214,acc_mean,good
49,0.9769668,acc_mean,good
50,0.970093,acc_mean,good
51,0.965317,acc_mean,good
52,0.91800916,acc_mean,good
53,0.9588757,acc_mean,good
54,0.98354113,acc_mean,good
55,0.9689646,acc_mean,good
56,0.9836066,acc_mean,good
57,0.95939887,acc_mean,good
58,0.8817886,acc_mean,good
59,0.95985144,acc_mean,good
60,0.9621949,acc_mean,good
61,0.9532309,acc_mean,good
62,0.94946206,acc_mean,good
63,0.9891219,acc_mean,good
64,0.90258753,acc_std,good
65,0.9155886,acc_std,good
66,0.96692395,acc_std,good
67,0.9710095,acc_std,good
68,0.97106594,acc_std,good
69,0.9791603,acc_std,good
70,0.94571745,acc_std,good
71,0.9512741,acc_std,good
72,0.9700924,acc_std,good
73,0.9720358,acc_std,good
74,0.96672976,acc_std,good
75,0.96712005,acc_std,good
76,0.9514494,acc_std,good
77,0.9675893,acc_std,good
78,0.94713706,acc_std,good
79,0.9702118,acc_std,good
80,0.9486821,acc_std,good
81,0.9630672,acc_std,good
82,0.9698918,acc_std,good
83,0.9688238,acc_std,good
84,0.9682083,acc_std,good
85,0.95617026,acc_std,good
86,0.9680852,acc_std,good
87,0.90714085,acc_std,good
88,0.97499627,acc_std,good
89,0.93024904,acc_std,good
90,0.9539904,acc_std,good
91,0.8452638,acc_std,good
92,0.9636757,acc_std,good
93,0.969646,acc_std,good
94,0.98074406,acc_std,good
95,0.95922554,acc_std,good
96,0.9659033,acc_std,good
97,0.97458965,acc_std,good
98,0.91855264,acc_std,good
99,0.8381804,acc_std,good
100,0.9501226,acc_std,good
101,0.9575972,acc_std,good
102,0.94883984,acc_std,good
103,0.95237565,acc_std,good
104,0.9697847,acc_std,good
105,0.91626054,acc_std,good
106,0.946347,acc_std,good
107,0.9394881,acc_std,good
108,0.956598,acc_std,good
109,0.96543014,acc_std,good
110,0.94332623,acc_std,good
111,0.9447104,acc_std,good
112,0.9657873,acc_std,good
113,0.90799236,acc_std,good
114,0.96967745,acc_std,good
115,0.9144785,acc_std,good
116,0.9498751,acc_std,good
117,0.9604491,acc_std,good
118,0.82892644,acc_std,good
119,0.97783643,acc_std,good
120,0.96632236,acc_std,good
121,0.970013,acc_std,good
122,0.9364919,acc_std,good
123,0.97211635,acc_std,good
124,0.9749856,acc_std,good
125,0.96256006,acc_std,good
