dim,icc,SEM,MDC,stream
0,0.9844456,0.008113308,0.022488942073120705,acc_mean
1,0.9726131,0.004553921,0.012622825159331491,acc_mean
2,0.98126894,0.0066329706,0.01838565661100166,acc_mean
3,0.98355645,0.007473753,0.0207161859342783,acc_mean
4,0.9753035,0.0038462237,0.010661188169134427,acc_mean
5,0.9894076,0.0065936805,0.018276749812994014,acc_mean
6,0.9829495,0.0031884662,0.00883797736622423,acc_mean
7,0.9272581,0.004426053,0.012268392422159243,acc_mean
8,0.9865753,0.0046738586,0.012955275180333452,acc_mean
9,0.9757962,0.0034869635,0.009665369577723642,acc_mean
10,0.98833746,0.0055465526,0.01537425941166892,acc_mean
11,0.98894775,0.0071490877,0.019816260181871753,acc_mean
12,0.81074333,0.004250074,0.011780603552841742,acc_mean
13,0.9579653,0.0027155578,0.00752714223134974,acc_mean
14,0.9848052,0.0071522994,0.019825162465556004,acc_mean
15,0.97077334,0.0037007076,0.010257838047852044,acc_mean
16,0.9833362,0.011773838,0.032635413158733965,acc_mean
17,0.9863409,0.0045079635,0.012495437442403869,acc_mean
18,0.97094303,0.005762644,0.015973234538612213,acc_mean
19,0.9648194,0.0038571134,0.010691372938613629,acc_mean
20,0.96064794,0.0059419195,0.01647016060761085,acc_mean
21,0.9820426,0.0054417895,0.015083870970834962,acc_mean
22,0.85977805,0.0033058226,0.009163272775299004,acc_mean
23,0.9807423,0.014102039,0.039088857628089356,acc_mean
24,0.9796132,0.0077024032,0.021349972514166968,acc_mean
25,0.97939897,0.003937385,0.010913874528588781,acc_mean
26,0.98174673,0.0068093664,0.01887460069909506,acc_mean
27,0.9827223,0.0052876254,0.014656549737265776,acc_mean
28,0.9764673,0.0057744817,0.016006046624089575,acc_mean
29,0.9749722,0.006398056,0.017734506899299077,acc_mean
30,0.9876075,0.004447187,0.012326972985449042,acc_mean
31,0.9769488,0.0075670886,0.0209748994379495,acc_mean
32,0.9685962,0.0056979596,0.015793938130855847,acc_mean
33,0.98819256,0.006370102,0.017657022051996003,acc_mean
34,0.9726271,0.0041427477,0.011483110839222786,acc_mean
35,0.9891833,0.00847915,0.02350300473133373,acc_mean
36,0.9899122,0.0037016529,0.010260458264740405,acc_mean
37,0.98109466,0.00515652,0.014293143725311314,acc_mean
38,0.98904544,0.0037809873,0.010480362225903818,acc_mean
39,0.98704535,0.0069701457,0.019320258287893837,acc_mean
40,0.97571045,0.004343182,0.012038685881114715,acc_mean
41,0.97839373,0.009374687,0.025985307859061054,acc_mean
42,0.9735387,0.007465527,0.020693384884360608,acc_mean
43,0.97617954,0.005681786,0.015749107897867383,acc_mean
44,0.99000853,0.0059754816,0.01656318992387281,acc_mean
45,0.9793974,0.006275492,0.017394775773140837,acc_mean
46,0.85426605,0.0033530965,0.009294309434661798,acc_mean
47,0.9885987,0.009974249,0.02764720688082276,acc_mean
48,0.93397826,0.003797159,0.010525187941276954,acc_mean
49,0.98443395,0.013415657,0.037186303947230374,acc_mean
50,0.9822569,0.007369797,0.02042803564915095,acc_mean
51,0.9473436,0.0041357474,0.011463707036029318,acc_mean
52,0.97038233,0.00494206,0.013698691376681725,acc_mean
53,0.9632252,0.0028206182,0.00781835481429366,acc_mean
54,0.98734033,0.0066426154,0.01841239056774636,acc_mean
55,0.9767764,0.0044326033,0.012286549363523077,acc_mean
56,0.98861754,0.010143544,0.028116468364319795,acc_mean
57,0.96624887,0.0050948705,0.014122260408036888,acc_mean
58,0.96505886,0.004230473,0.011726273420198925,acc_mean
59,0.97014445,0.00531081,0.01472081475138136,acc_mean
60,0.880964,0.0031224252,0.008654921011770426,acc_mean
61,0.93438077,0.003267126,0.009056011034643192,acc_mean
62,0.9586184,0.0053553437,0.014844255363262377,acc_mean
63,0.9910199,0.005944574,0.016477517866854037,acc_mean
64,0.62549704,0.0045549404,0.012625650605030321,acc_std
65,0.9216957,0.0026704704,0.007402166275631922,acc_std
66,0.9682459,0.0044617536,0.012367350140474525,acc_std
67,0.7623628,0.004617972,0.012800364860100145,acc_std
68,0.98767084,0.003506283,0.009718920744409746,acc_std
69,0.9808499,0.0030808812,0.008539766997142257,acc_std
70,0.95798826,0.0015424313,0.004275401443003515,acc_std
71,0.9338977,0.0019761622,0.005477642140701389,acc_std
72,0.9737544,0.004180636,0.011588131197303899,acc_std
73,0.87734807,0.002785918,0.007722170911787781,acc_std
74,0.9378832,0.0023394395,0.006484595363140476,acc_std
75,0.96201694,0.0034819408,0.009651447578039962,acc_std
76,0.96161646,0.004009821,0.011114656714829713,acc_std
77,0.96861327,0.0031955584,0.008857636091996739,acc_std
78,0.85351306,0.0043987273,0.012192650083624293,acc_std
79,0.93672776,0.0038511096,0.010674731334504443,acc_std
80,0.9484292,0.0047933743,0.013286555784339916,acc_std
81,0.88696176,0.0055584875,0.015407341263318532,acc_std
82,0.9815471,0.0058557,0.016231172303194794,acc_std
83,0.94335365,0.0014160653,0.0039251326564134605,acc_std
84,0.9816184,0.0030084557,0.008339013852714124,acc_std
85,0.9492589,0.004343594,0.01203982819241826,acc_std
86,0.9423243,0.0021400522,0.005931921921034281,acc_std
87,0.79854226,0.005184829,0.01437161212200795,acc_std
88,0.91764724,0.003755912,0.010410856778011509,acc_std
89,0.895341,0.0025386056,0.00703665570030974,acc_std
90,0.91124654,0.0036689928,0.010169929125873892,acc_std
91,0.94047534,0.003922148,0.010871639988291203,acc_std
92,0.97325975,0.0035685208,0.009891434920816412,acc_std
93,0.81684196,0.003122038,0.008653847755443986,acc_std
94,0.9813036,0.0052500092,0.014552283175570281,acc_std
95,0.782806,0.0045311595,0.012559733434453109,acc_std
96,0.92874897,0.003363096,0.009322026295426446,acc_std
97,0.9545346,0.0029503016,0.008177818884190457,acc_std
98,0.94200945,0.0029736771,0.00824261245929904,acc_std
99,0.7924756,0.0029185049,0.008089682790698832,acc_std
100,0.94358665,0.0026796272,0.007427547529273667,acc_std
101,0.9870402,0.0025546425,0.007081107744358156,acc_std
102,0.9323397,0.0024353685,0.006750497038166992,acc_std
103,0.96328837,0.0031524466,0.008738136131426148,acc_std
104,0.94991505,0.0026086546,0.007230821516220751,acc_std
105,0.9077498,0.0056832694,0.015753218927812916,acc_std
106,0.89481825,0.0037817978,0.01048260877146746,acc_std
107,0.9698253,0.0039508548,0.01095121068312708,acc_std
108,0.90857255,0.0029766234,0.008250779017058972,acc_std
109,0.9714052,0.003990982,0.011062438244664415,acc_std
110,0.9740235,0.0037409372,0.010369348928407601,acc_std
111,0.7450267,0.00531598,0.014735144627191504,acc_std
112,0.9231539,0.0034220782,0.00948551685790871,acc_std
113,0.73683584,0.0059882184,0.016598494442262204,acc_std
114,0.8634483,0.0044725686,0.012397327745022406,acc_std
115,0.8509889,0.0038830994,0.010763402442725244,acc_std
116,0.94174826,0.004433773,0.01228979172057902,acc_std
117,0.9814849,0.002527319,0.007005370568812149,acc_std
118,0.8540773,0.004060585,0.011255367524723676,acc_std
119,0.9833624,0.0051029087,0.01414454128681861,acc_std
120,0.9460558,0.0043149763,0.011960504030304393,acc_std
121,0.9754415,0.0037252435,0.010325848165071856,acc_std
122,0.9650927,0.0019934543,0.005525573393923491,acc_std
123,0.97512275,0.004571504,0.012671562484202254,acc_std
124,0.963995,0.0037080012,0.010278055021803968,acc_std
125,0.9858091,0.0032031175,0.008878588791872982,acc_std
126,0.9343439,0.0038394872,0.010642515574249951,acc_std
127,0.9165124,0.0035062162,0.009718735522181431,acc_std
128,0.34922338,0.0068584555,0.019010668691182404,gravity
129,0.34381762,0.006458817,0.01790292747084789,gravity
130,0.3356551,0.0060515422,0.016774019286596015,gravity
131,0.32430735,0.005663568,0.0156986099937672,gravity
132,0.30897775,0.005297996,0.01468529596895085,gravity
133,0.28879458,0.004957855,0.013742473522914841,gravity
134,0.26291883,0.0046459655,0.012877959420918248,gravity
135,0.23075052,0.0043648337,0.012098701755330553,gravity
136,0.19225739,0.0041166246,0.011410701210050275,gravity
137,0.14839089,0.003903295,0.010819381504961598,gravity
138,0.10150927,0.0037266691,0.010329799787733785,gravity
139,0.05525367,0.00358876,0.009947535313292916,gravity
140,0.013936107,0.003492044,0.009679452275438158,gravity
141,-0.018377015,0.0034381328,0.009530017950352082,gravity
142,-0.039064404,0.0034265982,0.009498045495951509,gravity
143,-0.04753484,0.003454074,0.009574204745843574,gravity
144,-0.045015123,0.0035143807,0.009741366193464013,gravity
145,-0.03381071,0.003599637,0.009977684587223139,gravity
146,-0.01651016,0.0037016214,0.010260371139301998,gravity
147,0.0045604478,0.0038128318,0.010568630620987096,gravity
148,0.027497236,0.003925656,0.010881363187217325,gravity
149,0.05101256,0.0040350505,0.01118458940005702,gravity
150,0.07433974,0.0041386895,0.01147186197706413,gravity
151,0.09695424,0.0042339726,0.011735973385674807,gravity
152,0.1185542,0.004319117,0.011971981354723759,gravity
153,0.13898115,0.0043929885,0.012176742914692189,gravity
154,0.15816356,0.004454967,0.012348538790262218,gravity
155,0.17607696,0.004504846,0.012486795889661218,gravity
156,0.19271801,0.004542759,0.012591885948093054,gravity
157,0.20808803,0.0045691193,0.01266495256760851,gravity
158,0.22215846,0.004583256,0.012704137072188254,gravity
159,0.2349242,0.0045861145,0.012712060969467887,gravity
160,0.24638124,0.0045800526,0.012695258021954245,gravity
161,0.2564804,0.0045662047,0.012656873780660601,gravity
162,0.26515833,0.0045457925,0.012600293875586054,gravity
163,0.2723382,0.004520096,0.012529066570881393,gravity
164,0.27793384,0.004490416,0.012446798214323014,gravity
165,0.28185374,0.004458048,0.012357078373973252,gravity
166,0.28400746,0.004424235,0.01226335334495128,gravity
167,0.28431198,0.004390143,0.012168855158335155,gravity
168,0.28271207,0.004355811,0.012073692236892674,gravity
169,0.27917963,0.0043221912,0.011980502867973494,gravity
170,0.27369455,0.004291017,0.011894092503535928,gravity
171,0.2662808,0.0042628106,0.011815908071231136,gravity
172,0.25700244,0.0042379024,0.011746866001596424,gravity
173,0.24596527,0.0042164456,0.011687390950472321,gravity
174,0.23331533,0.004198423,0.01163743516021111,gravity
175,0.219234,0.0041836808,0.011596571393477789,gravity
176,0.20393048,0.0041719424,0.011564034237161621,gravity
177,0.18763141,0.0041628545,0.011538844014110752,gravity
178,0.17062344,0.004154989,0.011517042002553452,gravity
179,0.15313691,0.0041478537,0.011497263882661648,gravity
180,0.13532491,0.0041419845,0.011480995304503562,gravity
181,0.11736652,0.004136922,0.011466962300557618,gravity
182,0.09940939,0.0041322275,0.01145395027767507,gravity
183,0.08156742,0.004127492,0.011440824669035784,gravity
184,0.063919865,0.0041223383,0.011426538678631653,gravity
185,0.046513267,0.0041164286,0.011410157805464068,gravity
186,0.029366108,0.0041094734,0.011390879204752458,gravity
187,0.012473625,0.0041012294,0.011368027815692579,gravity
