dim,SRM,abs_SRM,stream
0,0.19907504,0.19907504,acc_mean
1,-0.12304698,0.12304698,acc_mean
2,-0.33763024,0.33763024,acc_mean
3,-0.33652583,0.33652583,acc_mean
4,0.058498867,0.058498867,acc_mean
5,0.14057389,0.14057389,acc_mean
6,0.16539119,0.16539119,acc_mean
7,0.12647586,0.12647586,acc_mean
8,0.27484345,0.27484345,acc_mean
9,0.09157568,0.09157568,acc_mean
10,0.20717514,0.20717514,acc_mean
11,-0.08969724,0.08969724,acc_mean
12,-0.5977804,0.5977804,acc_mean
13,-0.21962507,0.21962507,acc_mean
14,-0.0022203033,0.0022203033,acc_mean
15,0.47139487,0.47139487,acc_mean
16,0.19094718,0.19094718,acc_mean
17,0.38997605,0.38997605,acc_mean
18,0.23953336,0.23953336,acc_mean
19,-0.636066,0.636066,acc_mean
20,0.050625637,0.050625637,acc_mean
21,-0.10383518,0.10383518,acc_mean
22,-0.15706846,0.15706846,acc_mean
23,0.16836971,0.16836971,acc_mean
24,-0.3709036,0.3709036,acc_mean
25,-0.0146313645,0.0146313645,acc_mean
26,-0.4895883,0.4895883,acc_mean
27,-0.009519885,0.009519885,acc_mean
28,-0.34265858,0.34265858,acc_mean
29,0.4659104,0.4659104,acc_mean
30,0.16937765,0.16937765,acc_mean
31,-0.25039324,0.25039324,acc_mean
32,0.3648524,0.3648524,acc_mean
33,0.09520244,0.09520244,acc_mean
34,-0.3903705,0.3903705,acc_mean
35,-0.1968484,0.1968484,acc_mean
36,-0.14505824,0.14505824,acc_mean
37,-0.049193203,0.049193203,acc_mean
38,-0.29332554,0.29332554,acc_mean
39,0.30856797,0.30856797,acc_mean
40,-0.019635534,0.019635534,acc_mean
41,0.058199983,0.058199983,acc_mean
42,0.11179453,0.11179453,acc_mean
43,-0.15577929,0.15577929,acc_mean
44,-0.13800333,0.13800333,acc_mean
45,0.5486391,0.5486391,acc_mean
46,0.32415012,0.32415012,acc_mean
47,-0.1493853,0.1493853,acc_mean
48,-0.06945448,0.06945448,acc_mean
49,0.0190901,0.0190901,acc_mean
50,-0.27991968,0.27991968,acc_mean
51,0.31801274,0.31801274,acc_mean
52,-0.037602693,0.037602693,acc_mean
53,0.28638065,0.28638065,acc_mean
54,0.110716134,0.110716134,acc_mean
55,0.4728461,0.4728461,acc_mean
56,-0.29230413,0.29230413,acc_mean
57,0.18939385,0.18939385,acc_mean
58,0.4496953,0.4496953,acc_mean
59,-0.23437448,0.23437448,acc_mean
60,0.39792168,0.39792168,acc_mean
61,0.59687436,0.59687436,acc_mean
62,-0.5097603,0.5097603,acc_mean
63,0.42005092,0.42005092,acc_mean
64,0.37914363,0.37914363,acc_std
65,0.33661583,0.33661583,acc_std
66,0.50155294,0.50155294,acc_std
67,0.38304272,0.38304272,acc_std
68,0.4311896,0.4311896,acc_std
69,0.35569635,0.35569635,acc_std
70,0.22904567,0.22904567,acc_std
71,0.19358276,0.19358276,acc_std
72,0.3757506,0.3757506,acc_std
73,0.37347156,0.37347156,acc_std
74,0.009738627,0.009738627,acc_std
75,0.23431514,0.23431514,acc_std
76,-0.46297282,0.46297282,acc_std
77,0.45128354,0.45128354,acc_std
78,0.5282146,0.5282146,acc_std
79,0.332765,0.332765,acc_std
80,0.37188008,0.37188008,acc_std
81,0.49555725,0.49555725,acc_std
82,0.43408638,0.43408638,acc_std
83,0.27710378,0.27710378,acc_std
84,0.44953853,0.44953853,acc_std
85,0.2829084,0.2829084,acc_std
86,0.4325251,0.4325251,acc_std
87,0.31140736,0.31140736,acc_std
88,-0.40330374,0.40330374,acc_std
89,0.26996824,0.26996824,acc_std
90,0.30918458,0.30918458,acc_std
91,0.19548738,0.19548738,acc_std
92,0.32096136,0.32096136,acc_std
93,0.3770097,0.3770097,acc_std
94,0.49759024,0.49759024,acc_std
95,0.16014412,0.16014412,acc_std
96,0.543287,0.543287,acc_std
97,0.44016784,0.44016784,acc_std
98,0.36101413,0.36101413,acc_std
99,0.17400846,0.17400846,acc_std
100,0.18119912,0.18119912,acc_std
101,0.3035773,0.3035773,acc_std
102,0.031119697,0.031119697,acc_std
103,0.41035876,0.41035876,acc_std
104,0.40463498,0.40463498,acc_std
105,0.02802302,0.02802302,acc_std
106,0.30088755,0.30088755,acc_std
107,0.4350323,0.4350323,acc_std
108,0.39598474,0.39598474,acc_std
109,-0.070810355,0.070810355,acc_std
110,-0.06593316,0.06593316,acc_std
111,0.24608561,0.24608561,acc_std
112,0.3380922,0.3380922,acc_std
113,0.22243616,0.22243616,acc_std
114,0.30962026,0.30962026,acc_std
115,0.4054796,0.4054796,acc_std
116,0.38495487,0.38495487,acc_std
117,0.4633858,0.4633858,acc_std
118,0.26058683,0.26058683,acc_std
119,0.24130417,0.24130417,acc_std
120,-0.16928385,0.16928385,acc_std
121,0.373213,0.373213,acc_std
122,0.44294557,0.44294557,acc_std
123,0.40642723,0.40642723,acc_std
124,0.48744714,0.48744714,acc_std
125,0.2111444,0.2111444,acc_std
126,-0.27396375,0.27396375,acc_std
127,0.20383999,0.20383999,acc_std
128,-0.066348076,0.066348076,gravity
129,-0.066348076,0.066348076,gravity
130,-0.06773506,0.06773506,gravity
131,-0.06947918,0.06947918,gravity
132,-0.07131637,0.07131637,gravity
133,-0.07325534,0.07325534,gravity
134,-0.07530246,0.07530246,gravity
135,-0.077463694,0.077463694,gravity
136,-0.07974465,0.07974465,gravity
137,-0.08214324,0.08214324,gravity
138,-0.084679686,0.084679686,gravity
139,-0.08736414,0.08736414,gravity
140,-0.0901725,0.0901725,gravity
141,-0.093138374,0.093138374,gravity
142,-0.0962786,0.0962786,gravity
143,-0.09956759,0.09956759,gravity
144,-0.103010304,0.103010304,gravity
145,-0.10664874,0.10664874,gravity
146,-0.11047296,0.11047296,gravity
147,-0.11441075,0.11441075,gravity
148,-0.118550606,0.118550606,gravity
149,-0.122888714,0.122888714,gravity
150,-0.12729183,0.12729183,gravity
151,-0.13183902,0.13183902,gravity
152,-0.13652946,0.13652946,gravity
153,-0.1412362,0.1412362,gravity
154,-0.14591223,0.14591223,gravity
155,-0.15058875,0.15058875,gravity
156,-0.15515572,0.15515572,gravity
157,-0.15940446,0.15940446,gravity
158,-0.16340327,0.16340327,gravity
159,-0.16703816,0.16703816,gravity
160,-0.17006968,0.17006968,gravity
161,-0.1725237,0.1725237,gravity
162,-0.17432234,0.17432234,gravity
163,-0.17534532,0.17534532,gravity
164,-0.1755823,0.1755823,gravity
165,-0.17504211,0.17504211,gravity
166,-0.17372479,0.17372479,gravity
167,-0.17172344,0.17172344,gravity
168,-0.16907087,0.16907087,gravity
169,-0.16582827,0.16582827,gravity
170,-0.16219951,0.16219951,gravity
171,-0.15819792,0.15819792,gravity
172,-0.15387908,0.15387908,gravity
173,-0.14941058,0.14941058,gravity
174,-0.14486866,0.14486866,gravity
175,-0.14022301,0.14022301,gravity
176,-0.13555579,0.13555579,gravity
177,-0.13102603,0.13102603,gravity
178,-0.12651415,0.12651415,gravity
179,-0.12204792,0.12204792,gravity
180,-0.11778094,0.11778094,gravity
181,-0.113611,0.113611,gravity
182,-0.109524906,0.109524906,gravity
183,-0.10559889,0.10559889,gravity
184,-0.10182596,0.10182596,gravity
185,-0.09814355,0.09814355,gravity
186,-0.09457381,0.09457381,gravity
187,-0.091179535,0.091179535,gravity
188,-0.08786806,0.08786806,gravity
189,-0.08464083,0.08464083,gravity
190,-0.08156288,0.08156288,gravity
191,-0.07856903,0.07856903,gravity
192,-0.075646274,0.075646274,gravity
193,-0.07282451,0.07282451,gravity
194,-0.07009305,0.07009305,gravity
195,-0.06741951,0.06741951,gravity
196,-0.06481142,0.06481142,gravity
197,-0.0622911,0.0622911,gravity
198,-0.059816744,0.059816744,gravity
199,-0.057388946,0.057388946,gravity
200,-0.055029925,0.055029925,gravity
201,-0.05271236,0.05271236,gravity
202,-0.050430708,0.050430708,gravity
203,-0.048194952,0.048194952,gravity
204,-0.04599799,0.04599799,gravity
205,-0.043828398,0.043828398,gravity
206,-0.04168891,0.04168891,gravity
207,-0.039582666,0.039582666,gravity
208,-0.037496362,0.037496362,gravity
209,-0.035430603,0.035430603,gravity
210,-0.03338914,0.03338914,gravity
211,-0.031362385,0.031362385,gravity
212,-0.029349754,0.029349754,gravity
213,-0.027352372,0.027352372,gravity
214,-0.025365485,0.025365485,gravity
215,-0.023386667,0.023386667,gravity
216,-0.021416895,0.021416895,gravity
217,-0.019453267,0.019453267,gravity
218,-0.017492533,0.017492533,gravity
219,-0.01553543,0.01553543,gravity
220,-0.013580992,0.013580992,gravity
221,-0.011625085,0.011625085,gravity
222,-0.009667897,0.009667897,gravity
223,-0.007710288,0.007710288,gravity
224,-0.005748056,0.005748056,gravity
225,-0.003779938,0.003779938,gravity
226,-0.0018073057,0.0018073057,gravity
227,0.00017069974,0.00017069974,gravity
228,0.002158597,0.002158597,gravity
229,0.004155921,0.004155921,gravity
230,0.006158261,0.006158261,gravity
231,0.00817359,0.00817359,gravity
232,0.0102027,0.0102027,gravity
233,0.012239653,0.012239653,gravity
234,0.014288274,0.014288274,gravity
235,0.016354725,0.016354725,gravity
236,0.018435434,0.018435434,gravity
237,0.02052207,0.02052207,gravity
238,0.022630494,0.022630494,gravity
239,0.02475968,0.02475968,gravity
240,0.026891995,0.026891995,gravity
241,0.029045496,0.029045496,gravity
242,0.031223627,0.031223627,gravity
243,0.033411525,0.033411525,gravity
244,0.03561202,0.03561202,gravity
245,0.037840728,0.037840728,gravity
246,0.040090643,0.040090643,gravity
247,0.04233912,0.04233912,gravity
248,0.04461889,0.04461889,gravity
249,0.04692867,0.04692867,gravity
250,0.04923156,0.04923156,gravity
251,0.051560707,0.051560707,gravity
252,0.05392242,0.05392242,gravity
253,0.056289405,0.056289405,gravity
254,0.05866422,0.05866422,gravity
255,0.061073747,0.061073747,gravity
256,0.06350572,0.06350572,gravity
257,0.06592128,0.06592128,gravity
258,0.06837179,0.06837179,gravity
259,0.070856154,0.070856154,gravity
260,0.07331488,0.07331488,gravity
261,0.07579684,0.07579684,gravity
262,0.07831175,0.07831175,gravity
263,0.080818444,0.080818444,gravity
264,0.08331814,0.08331814,gravity
265,0.085848495,0.085848495,gravity
266,0.08839193,0.08839193,gravity
267,0.09089163,0.09089163,gravity
268,0.09341719,0.09341719,gravity
269,0.095964834,0.095964834,gravity
270,0.09845597,0.09845597,gravity
271,0.10095053,0.10095053,gravity
272,0.10345982,0.10345982,gravity
273,0.105930455,0.105930455,gravity
274,0.10836148,0.10836148,gravity
275,0.1107959,0.1107959,gravity
276,0.11321097,0.11321097,gravity
277,0.11553763,0.11553763,gravity
278,0.117854044,0.117854044,gravity
279,0.120151974,0.120151974,gravity
280,0.122343026,0.122343026,gravity
281,0.12448958,0.12448958,gravity
282,0.12659918,0.12659918,gravity
283,0.1286156,0.1286156,gravity
284,0.1305338,0.1305338,gravity
285,0.13239463,0.13239463,gravity
286,0.13417266,0.13417266,gravity
287,0.13580017,0.13580017,gravity
288,0.13734755,0.13734755,gravity
289,0.13880472,0.13880472,gravity
290,0.14009288,0.14009288,gravity
291,0.14126392,0.14126392,gravity
292,0.14232294,0.14232294,gravity
293,0.14322387,0.14322387,gravity
294,0.14396304,0.14396304,gravity
295,0.14457169,0.14457169,gravity
296,0.14503141,0.14503141,gravity
297,0.14529735,0.14529735,gravity
298,0.14541936,0.14541936,gravity
299,0.14539269,0.14539269,gravity
300,0.14517258,0.14517258,gravity
301,0.14479408,0.14479408,gravity
302,0.14426437,0.14426437,gravity
303,0.14356373,0.14356373,gravity
304,0.1426963,0.1426963,gravity
305,0.14168262,0.14168262,gravity
306,0.14052126,0.14052126,gravity
307,0.13920048,0.13920048,gravity
308,0.1377462,0.1377462,gravity
309,0.1361637,0.1361637,gravity
310,0.13444853,0.13444853,gravity
