feature,rho_ARAT,p_ARAT,rho_FMA,p_FMA,sig_ARAT,sig_FMA
Z_jerk_mean_iqr,0.7662201642966494,1.670552665652447e-39,0.760226495025419,1.4419914932958732e-38,True,True
Z_acc_mean_iqr,0.7508789587010499,3.67559546159023e-37,0.7396236500900486,1.5066751484860765e-35,True,True
Z_jerk_mean_p90,0.7395339153261582,1.5507483442339653e-35,0.7324802065756154,1.4419799781970997e-34,True,True
acc_mag_mean_p10,0.7379783466570239,2.551469998103687e-35,0.7261364080318353,1.0092932509170807e-33,True,True
acc_mag_mean_p50,0.7344382471272667,7.820553168039718e-35,0.7166690446558809,1.6671907330230055e-32,True,True
Z_acc_std_p50,0.7161616702899107,1.9313168223465086e-32,0.7010535405481146,1.3359276463919265e-30,True,True
Z_acc_mean_p90,0.7158178810967322,2.1332922362814285e-32,0.6995493727841683,2.0075035516975298e-30,True,True
Z_acc_std_p10,0.7146548825198084,2.983371392305752e-32,0.7100491597924459,1.1078198978890557e-31,True,True
Y_acc_mean_iqr,0.7108670069949674,8.792466657540759e-32,0.702074363914906,1.011846127963708e-30,True,True
X_acc_mean_iqr,0.7102553100071048,1.0452140237196482e-31,0.6805581914066716,2.784368577070911e-28,True,True
X_acc_mean_p90,0.7096683906187505,1.2333171117922793e-31,0.6778986371957658,5.393396449556058e-28,True,True
Z_acc_max_p10,0.7087260675374479,1.6072772955323153e-31,0.7013435471864077,1.234679419363773e-30,True,True
acc_mag_mean_mean,0.7084713228425027,1.7262559341587287e-31,0.6870496999982222,5.382306238467625e-29,True,True
Z_acc_max_p50,0.707127138069174,2.513065948933755e-31,0.6938064679949314,9.28854797363072e-30,True,True
Z_vel_max_p50,0.7020887680691453,1.007878386046432e-30,0.6887936065831575,3.4358199734824507e-29,True,True
displacement_mean,0.6975753734587002,3.412809397141907e-30,0.6757533614234332,9.147124944546184e-28,True,True
vel_mag_mean_p50,0.6960035444898884,5.1913386365095584e-30,0.6739816142012218,1.4102798460850781e-27,True,True
Z_vel_std_p10,0.6953686185024868,6.1451305093127244e-30,0.6844203064776989,1.0527209283217524e-28,True,True
path_length_p50,0.6953283549032856,6.211119884626155e-30,0.6732894650244957,1.6687946928158953e-27,True,True
X_jerk_mean_iqr,0.6944526216206619,7.832035897160469e-30,0.6750743592143099,1.0801800517193262e-27,True,True
Z_acc_std_mean,0.6942001998256704,8.372108910429996e-30,0.6750310515563247,1.0916800240198926e-27,True,True
vel_mag_mean_mean,0.6941204469272529,8.550246886754607e-30,0.6720490099636373,2.2537842248058065e-27,True,True
X_vel_mean_std,0.6940329510289891,8.749973876765589e-30,0.6661382879997081,9.251168262752537e-27,True,True
X_acc_std_p50,0.6940166907293116,8.787594138899813e-30,0.6701009387053436,3.602458259378908e-27,True,True
path_length_mean,0.6938494419326302,9.18390739183324e-30,0.671693268487331,2.4559730918312627e-27,True,True
displacement_p10,0.6922861302636495,1.3850506020417397e-29,0.6801158346143954,3.1095349309302475e-28,True,True
displacement_p50,0.6921304959667377,1.4426724270837521e-29,0.6708580493690471,3.0034516840555492e-27,True,True
Z_acc_max_mean,0.6896906767151485,2.724065141600729e-29,0.6711813101018645,2.7786159721066718e-27,True,True
Y_jerk_mean_iqr,0.6873228673621306,5.017918587536932e-29,0.6877078217293884,4.5453056733514326e-29,True,True
X_acc_std_mean,0.6871014175665247,5.311375392859859e-29,0.6580985306351906,6.001351638225551e-26,True,True
displacement_p90,0.6869179084701659,5.567301410059266e-29,0.6632436350740262,1.8258291862256646e-26,True,True
X_jerk_mean_p90,0.6862558819833018,6.595541599605699e-29,0.6646101463536629,1.3258122359572162e-26,True,True
X_vel_std_p50,0.6859097698901694,7.205333902270552e-29,0.6548357626166355,1.2611264583630352e-25,True,True
X_vel_mean_p90,0.6857518126933035,7.501754792948849e-29,0.6560097094884455,9.664492639955617e-26,True,True
Z_vel_max_mean,0.6845446790172555,1.0200032613132786e-28,0.6636604712821327,1.6563194888039278e-26,True,True
X_vel_mean_iqr,0.6816596372745004,2.113099293077649e-28,0.6519349228826701,2.4219589627885647e-25,True,True
X_acc_mean_std,0.6809542499884969,2.521778511380526e-28,0.6530454549695732,1.8881468134864817e-25,True,True
X_vel_max_p50,0.68092637518905,2.5394338828571395e-28,0.6488832796967922,4.775130949410793e-25,True,True
X_vel_std_mean,0.6807614492923223,2.6464114311286053e-28,0.649288515639367,4.36545731650241e-25,True,True
X_acc_max_p50,0.6804610208982833,2.852797984912207e-28,0.660852433672421,3.183497176974456e-26,True,True
X_vel_max_mean,0.6801513009044289,3.082141820762994e-28,0.6476234908600474,6.30539842682392e-25,True,True
Z_vel_mean_iqr,0.6791261277247704,3.9784486195646404e-28,0.6610009170712269,3.0759278132049945e-26,True,True
X_acc_max_mean,0.6751415800038318,1.0625658429991097e-27,0.6503325395372217,3.4625335129480004e-25,True,True
X_vel_max_iqr,0.6730958794444227,1.749089222119028e-27,0.6417730902768831,2.25418606506415e-24,True,True
Z_vel_std_mean,0.6727621561510444,1.8965266844053283e-27,0.6512110663134906,2.8471122502631916e-25,True,True
vel_mag_max_p50,0.6722046601621063,2.1705557548543024e-27,0.648268465623611,5.469842998328028e-25,True,True
Z_vel_mean_p90,0.6719181691677908,2.3261694652790194e-27,0.6474108193252991,6.607498203308849e-25,True,True
X_jerk_mean_std,0.6717338857714474,2.4320144907912305e-27,0.6541791875875401,1.4627742512161175e-25,True,True
Y_acc_max_p10,0.6709727488865498,2.921698440819906e-27,0.683933868676402,1.1909019723178317e-28,True,True
acc_mag_max_p10,0.6688651043283699,4.841910119058587e-27,0.660232979493027,3.6736029621763555e-26,True,True
Z_acc_mean_std,0.6685600301344231,5.2074216950222984e-27,0.6499883983264473,3.7377486370707866e-25,True,True
Y_acc_std_p10,0.6681008702435337,5.8092724293819625e-27,0.6756675194584985,9.34166984284245e-28,True,True
displacement_iqr,0.6680025341454849,5.946800724072656e-27,0.6437428153641692,1.4724953788865961e-24,True,True
Z_vel_std_p50,0.6676417103526445,6.479421752247697e-27,0.6509287931855521,3.032093098570361e-25,True,True
vel_mag_max_mean,0.6672274598608638,7.148928224134824e-27,0.6439864209403353,1.3966510764065934e-24,True,True
Z_vel_max_p90,0.6664678715759357,8.557925865890246e-27,0.6408025347273959,2.7772767741904847e-24,True,True
vel_mag_mean_p90,0.6663555980781635,8.788140167966649e-27,0.6441016502446171,1.3621263122852406e-24,True,True
path_length_p90,0.6663362405785475,8.828443343613604e-27,0.6443607228414923,1.2875375339708155e-24,True,True
Z_jerk_mean_std,0.6655936868932814,1.0519606486340678e-26,0.6536277882992657,1.6563550572886038e-25,True,True
vel_mag_mean_p10,0.6654256637966153,1.0944411813437319e-26,0.655438976424285,1.1001049988153783e-25,True,True
path_length_p10,0.6632405892399715,1.8271285345655207e-26,0.6532821003864204,1.790339185167414e-25,True,True
Z_vel_max_iqr,0.6616184307721583,2.665636989133764e-26,0.6398923005586736,3.375364950510454e-24,True,True
acc_mag_max_p50,0.6613350369777814,2.846774812420372e-26,0.641514017680008,2.383491102381037e-24,True,True
X_vel_std_p90,0.6598328950075869,4.028830477971587e-26,0.6279231465830447,4.1320579719678336e-23,True,True
Z_vel_mean_std,0.6592916593183262,4.5636376925450867e-26,0.6367555887588965,6.577148753318626e-24,True,True
X_vel_max_p90,0.6587388091292959,5.181907805955126e-26,0.6262472948892289,5.817381305194108e-23,True,True
X_vel_max_std,0.6526063532509762,2.0837452723959707e-25,0.6240579381078756,9.066886708868857e-23,True,True
Y_acc_mean_p90,0.6512730086774323,2.8080292922290987e-25,0.6448216400586191,1.1646332170041113e-24,True,True
Y_acc_max_mean,0.6508014599867888,3.119357591530364e-25,0.6392929535062014,3.8365205533023695e-24,True,True
acc_mag_mean_p90,0.6501146559004164,3.634367526921054e-25,0.6239202816235659,9.322349137155523e-23,True,True
X_acc_max_p90,0.6488138319262273,4.849035901850763e-25,0.6240246840133514,9.127962391203097e-23,True,True
