true,pred,prob
0,1,0.48708080250028357
0,0,0.20533024377492354
1,0,0.2844271607157893
1,1,0.6568685738813842
1,0,0.3296386333180333
1,1,0.3949257045743476
1,1,0.7616666552814002
1,1,0.7105503655156703
1,1,0.7878955976177939
1,1,0.7145659769091808
1,0,0.1962325891420063
1,1,0.8370358832316975
1,1,0.6289966733444563
0,1,0.7327312887638437
1,1,0.5664522948755453
1,1,0.7030264074265464
1,1,0.5776724987812258
0,0,0.051015317502296695
1,1,0.8238887574009497
1,1,0.6604457124141561
1,1,0.8626415782017276
1,1,0.7543702466199294
1,0,0.3596618789221483
0,0,0.17923369869416986
1,1,0.8717459333008981
1,1,0.5408287376278922
1,1,0.621209455212221
1,1,0.7833150154972771
0,1,0.5418455767370431
0,1,0.4937913894620547
1,1,0.48626093864808173
1,1,0.7286437902241327
1,1,0.6912561545589908
1,1,0.6995721799976573
0,1,0.6056767918457446
1,1,0.6507021846406972
0,0,0.2084008450148758
1,1,0.5376392630470348
1,1,0.41505095880680276
1,0,0.34688340350670893
1,1,0.8123559162847845
1,1,0.8720369529590386
1,1,0.40503769883031127
0,1,0.7759242679737025
1,1,0.6591769828212006
1,1,0.8362571472450033
1,1,0.6837428872595752
1,1,0.8751719965120686
1,0,0.047141714562091944
1,1,0.7629954945748952
1,1,0.7208863923598441
1,1,0.7709711777046733
1,1,0.8466910368635302
0,0,0.31007951895637975
0,0,0.2907302090982004
0,1,0.6282485579296353
1,1,0.6799273788100804
1,1,0.5235699837868081
0,1,0.6650095052215418
1,1,0.9170794965528284
1,1,0.4759826298360588
1,1,0.5887727251797984
1,1,0.4434871230678089
1,1,0.7899417628488079
1,1,0.6111625399221203
1,1,0.6409176901255755
1,1,0.8444148978848283
1,1,0.5696335779582673
1,1,0.8289593078617765
0,0,0.21251500775075977
1,1,0.8596474904645054
0,0,0.2751487826343296
1,1,0.6098252133961628
1,1,0.6272707183124893
1,1,0.5525255280523887
0,0,0.18540927260424697
1,1,0.6253319401432612
1,1,0.631097456198832
1,1,0.7287869925392253
1,1,0.46470677856652365
1,1,0.6214997978002539
1,1,0.6674232813142271
0,1,0.40563335235579345
1,1,0.6975497637950334
1,1,0.7148795829093325
1,1,0.5649948474371547
1,0,0.23777595218135744
1,1,0.8370542146902689
1,1,0.754391133062162
0,1,0.8541619060483336
1,1,0.681585281315811
0,1,0.543683112563539
1,1,0.3747235637808909
1,1,0.6421318498112654
1,1,0.559338985763109
0,1,0.7863503324527511
1,1,0.7930669654416086
1,1,0.7855738492413997
1,1,0.7706955347038342
1,1,0.7155381461719896
0,1,0.45891043919409275
1,1,0.8010265290997897
1,0,0.2406468983979081
1,1,0.7705855552290966
0,1,0.7822370055655765
0,1,0.8575514062785443
1,1,0.709100238634874
1,1,0.5352946833977436
1,1,0.6842379107722218
1,1,0.8124364573526272
1,1,0.6439311992751535
0,1,0.4436220090989916
1,1,0.4590572839672691
1,1,0.8977272407762731
0,1,0.562474064413954
1,1,0.8060454411824891
0,0,0.3684268159821912
1,0,0.24793642636342517
1,1,0.7780079295041915
1,1,0.6249062479018298
1,1,0.5562985690999518
1,1,0.913316813452613
1,1,0.46868918456169206
0,0,0.2242922631502652
1,1,0.8935535953814544
1,0,0.3231170088820233
1,1,0.6481272260185549
1,1,0.5456098905367197
0,0,0.3083766037762779
1,1,0.41195890800063284
1,0,0.33304752630409196
1,1,0.37696983719171107
1,1,0.5173496995753989
1,0,0.30781206108698955
1,1,0.7972544177429076
0,1,0.5474907636405251
1,1,0.43133375979679284
1,1,0.6251256187618585
1,1,0.6520337395113243
0,1,0.7844948172228191
1,0,0.36726159332903774
1,1,0.8931560224963775
0,0,0.26581191896926826
0,1,0.5776931891592998
0,1,0.6730331069369344
1,1,0.6643922257065593
1,1,0.6646268026035608
1,0,0.26080915392499854
1,1,0.37745820862073687
0,1,0.5110581351681502
0,1,0.4127315865719334
1,1,0.5135636175144183
1,1,0.7402055013847662
1,1,0.7910383372537158
1,1,0.740676143506503
1,1,0.5889759881614272
1,1,0.8178837249189077
