,PC1,PC2
X_acc_mean_mean,-0.002537785312412111,0.008530755935076628
X_acc_mean_std,0.07319458932340195,-0.016283094512875684
X_acc_mean_iqr,0.07079006721143183,0.0028299644493382514
X_acc_mean_p10,-0.07373480529997913,0.013259809202982309
X_acc_mean_p50,-0.008090347456969361,-0.014546802931502907
X_acc_mean_p90,0.07382501412590359,-0.010751818582873416
X_acc_std_mean,0.07397622307298464,0.043706755700194194
X_acc_std_std,0.06888048508001215,-0.00590742767722935
X_acc_std_iqr,0.07395157791778927,0.0012904459578173208
X_acc_std_p10,0.04408304321459804,0.10533550982558881
X_acc_std_p50,0.07189459448309246,0.062200662975785394
X_acc_std_p90,0.07356069300405108,0.01380803692378539
X_acc_max_mean,0.07338355841172932,0.05725602745010389
X_acc_max_std,0.06806995888686601,0.011743921927462889
X_acc_max_iqr,0.07327943657528883,0.013771409624663434
X_acc_max_p10,0.04347401593042876,0.12418926897939923
X_acc_max_p50,0.07133035812219904,0.07560843524286576
X_acc_max_p90,0.07389597193554268,0.026193774470365087
Y_acc_mean_mean,-0.003910982647526409,-0.0006154650064289975
Y_acc_mean_std,0.07113753832914446,-0.06080569936034358
Y_acc_mean_iqr,0.07106602840115613,-0.03284768556522186
Y_acc_mean_p10,-0.07231337752024945,0.04879324959154534
Y_acc_mean_p50,-0.004944840938123945,0.03572004652130394
Y_acc_mean_p90,0.07140550746746148,-0.05285377875548643
Y_acc_std_mean,0.07522600562684885,0.004736360953492167
Y_acc_std_std,0.06684663737037867,-0.03130312090894836
Y_acc_std_iqr,0.07176406227062876,-0.03239700368453295
Y_acc_std_p10,0.06385981818375291,0.04939740548056665
Y_acc_std_p50,0.073415433755681,0.023798033544403553
Y_acc_std_p90,0.07259955883482025,-0.025418445155674537
Y_acc_max_mean,0.07567733005558917,0.018371922081320463
Y_acc_max_std,0.07128700589299321,-0.015929784382780258
Y_acc_max_iqr,0.07261783614761336,-0.020733876420129308
Y_acc_max_p10,0.06312064695794148,0.06757762365215554
Y_acc_max_p50,0.07340631127086605,0.03776396776181411
Y_acc_max_p90,0.07466862537271493,-0.00899504146481473
Z_acc_mean_mean,-0.00835773499478755,-0.022371842072806236
Z_acc_mean_std,0.07261603996025733,-0.05947681883120383
Z_acc_mean_iqr,0.07081889070738746,-0.029960847148560243
Z_acc_mean_p10,-0.0726237927668532,0.04821758173544047
Z_acc_mean_p50,-0.009862387828111486,-0.026740872848998606
Z_acc_mean_p90,0.07224566101706817,-0.05124163716626779
Z_acc_std_mean,0.07584710991200534,-0.009219078549441012
Z_acc_std_std,0.06774576731435207,-0.056572017846384104
Z_acc_std_iqr,0.07030793088050592,-0.056874835788248417
Z_acc_std_p10,0.0649000756557559,0.0408916369565883
Z_acc_std_p50,0.07394328409565615,0.008243901822218298
Z_acc_std_p90,0.07516751183854678,-0.03228435210470983
Z_acc_max_mean,0.0756224415521755,0.011007131899963154
Z_acc_max_std,0.06921147021365513,-0.02791802461319788
Z_acc_max_iqr,0.07221918804766761,-0.031207975229084806
Z_acc_max_p10,0.06534316096750653,0.05417143838730062
Z_acc_max_p50,0.07364311602238209,0.026104957434037016
Z_acc_max_p90,0.07507010743786773,-0.01076333889570122
acc_mag_mean_mean,0.07786263822912369,0.008518125863221919
acc_mag_mean_std,0.06935253580312564,-0.02032956169644558
acc_mag_mean_iqr,0.07413972705809836,-0.019807080776909083
acc_mag_mean_p10,0.07004107275150555,0.026876579498378957
acc_mag_mean_p50,0.07660502291980792,0.02272165367334305
acc_mag_mean_p90,0.07602760492674984,-0.010517487662551357
acc_mag_std_mean,0.07716499579285294,-0.01842665506305608
acc_mag_std_std,0.0682921623957897,-0.038194253393585356
acc_mag_std_iqr,0.07138771693698083,-0.054937141464001644
acc_mag_std_p10,0.07173666407933059,0.022556202981269324
acc_mag_std_p50,0.07648597951986437,-0.010646895132835798
acc_mag_std_p90,0.07461642118856085,-0.03648341850688663
acc_mag_max_mean,0.077794228764658,-0.0003988184648381491
acc_mag_max_std,0.06876706343686685,-0.024855511194247587
acc_mag_max_iqr,0.07135032766148523,-0.04658982499585051
acc_mag_max_p10,0.07143280669443725,0.039107887432382145
acc_mag_max_p50,0.07693062328296191,0.008314908238099408
acc_mag_max_p90,0.07579697436943017,-0.021652394614711048
X_vel_mean_mean,0.005549333548291874,-0.004711361248966928
