feature,importance,std
Y_acc_std_p10,0.041743706131543594,0.007248285062685385
Y_jerk_std_p10,0.031530977592552974,0.009576716815463678
Y_acc_mean_p90,0.0253686468946885,0.00634161442111639
Y_acc_mean_p10,0.024072457206374676,0.0022352798238923447
Y_vel_std_p90,0.023967148824990424,0.0053997683249336174
Y_vel_std_iqr,0.020872256529581926,0.007065151135124089
Y_acc_max_p10,0.019316624006246223,0.005544785517150124
Z_jerk_mean_p50,0.01734893427705295,0.003670180899137812
Y_vel_std_mean,0.016868274083951935,0.005437128696769997
Y_vel_mean_std,0.01549205462478855,0.004976930348047011
Y_jerk_max_p10,0.015452285243715634,0.004899167135671985
acc_mag_mean_p50,0.015282162130929958,0.004950144640713805
Y_vel_mean_p10,0.014666581697538254,0.004464343073362142
Y_jerk_mean_iqr,0.01466143006492625,0.004144641158460673
Y_vel_max_p90,0.014393117147107741,0.004080485330221309
Y_vel_mean_p90,0.01412338956433664,0.003857169238726929
Y_vel_max_mean,0.013794505221842689,0.0048240634342617125
Y_acc_mean_std,0.013682911571343298,0.0050088610962794496
Y_vel_std_p10,0.013669898808351542,0.002983645021736617
X_jerk_max_std,0.013422019379868215,0.005332781235431618
X_jerk_std_std,0.013244014657260599,0.0055463555077258685
Y_acc_mean_iqr,0.012940752134276177,0.004306149838376752
Y_acc_max_mean,0.01186384630853529,0.005582814268395101
Z_acc_mean_p50,0.01174121149596811,0.00607601961173911
Y_jerk_mean_p10,0.01147940788517212,0.0045525149472905695
Y_jerk_std_p50,0.010332310638536655,0.003799420885300922
Y_vel_max_std,0.010180814542137406,0.00408682787556179
X_jerk_mean_std,0.010143347521932428,0.0035753967906887287
Y_jerk_mean_std,0.009994113810138292,0.004484468407062284
X_jerk_max_p50,0.009935243322225049,0.005220975725967897
X_acc_max_std,0.00941161555021251,0.004076955649351105
Z_vel_mean_p50,0.009366436806344724,0.0033971216272997056
Y_acc_std_mean,0.008853392545019795,0.0035400519423071757
jerk_mag_mean_p10,0.008482382740674503,0.00446311301351081
X_vel_std_std,0.00819873972142248,0.005357477998305049
Y_acc_max_std,0.007956661330856006,0.004887074574063091
X_acc_mean_mean,0.007750782961598274,0.001811235428012767
Y_vel_std_std,0.007659240366107775,0.002839746843381713
X_jerk_max_mean,0.007541818787567486,0.003318368660714473
vel_mag_max_iqr,0.007438355029542719,0.0029080623814093693
Y_vel_max_iqr,0.007391977117555831,0.004260020214330266
Y_vel_std_p50,0.007095983383363373,0.003212377722085564
vel_mag_mean_iqr,0.0068863386742733235,0.0029943059331220775
Y_vel_max_p50,0.0068294360125999215,0.004381405559564793
acc_mag_mean_p10,0.0068002042221054744,0.006595635154832923
X_acc_std_p10,0.006730464052987473,0.0024642212312082604
Z_acc_max_mean,0.006705284035728343,0.0038771655193463395
X_vel_max_p90,0.006542285480292656,0.002957102273603047
Y_jerk_mean_p90,0.0064523053647887515,0.003984181230153372
