dim,icc,sd,SEM,MDC,stream
0,0.98474264,0.05623309,0.0069459495,0.019253189770782428,acc_mean
1,0.97264874,0.024159584,0.0039955643,0.011075139197463172,acc_mean
2,0.9698209,0.0394174,0.0068476414,0.018980693668128996,acc_mean
3,0.9830449,0.059032485,0.0076867184,0.0213064962750287,acc_mean
4,0.9635876,0.021846255,0.0041687107,0.011555076451346237,acc_mean
5,0.9889053,0.0633186,0.006669433,0.01848672470104722,acc_mean
6,0.96563107,0.01815059,0.0033649125,0.009327061500392702,acc_mean
7,0.92380446,0.017145386,0.0047327336,0.013118468225577898,acc_mean
8,0.98605436,0.03530974,0.004169786,0.011558056786713344,acc_mean
9,0.95355326,0.020785116,0.0044795056,0.012416556006591827,acc_mean
10,0.98592013,0.044794027,0.0053151976,0.014732976171835619,acc_mean
11,0.9855108,0.057635263,0.0069376132,0.01923008281376989,acc_mean
12,0.76701415,0.009397157,0.0045358767,0.012572808703950205,acc_mean
13,0.8952666,0.011875098,0.0038430835,0.010652484015150846,acc_mean
14,0.9889335,0.056132633,0.005905008,0.01636784694648289,acc_mean
15,0.9600412,0.023917725,0.0047810795,0.01325247618507715,acc_mean
16,0.98311085,0.081476435,0.010588538,0.029349929656153476,acc_mean
17,0.9883005,0.04798583,0.0051903496,0.01438691522123377,acc_mean
18,0.97024655,0.034165725,0.00589331,0.016335422085176226,acc_mean
19,0.95182467,0.022760779,0.004995736,0.013847473229040183,acc_mean
20,0.95548224,0.026939137,0.0056839506,0.01575510729101867,acc_mean
21,0.97219014,0.033220496,0.0055399453,0.015355944999142338,acc_mean
22,0.92804235,0.012371063,0.003318528,0.00919849016824999,acc_mean
23,0.97377014,0.085739374,0.013886035,0.038490126452373596,acc_mean
24,0.98592126,0.04858596,0.005764911,0.01597951789615534,acc_mean
25,0.9800851,0.028377421,0.004004629,0.01110026488315226,acc_mean
26,0.9847867,0.05853357,0.0072196624,0.02001188325141181,acc_mean
27,0.9812005,0.04189209,0.005743875,0.01592120968053226,acc_mean
28,0.958069,0.030046491,0.006152636,0.017054236639213082,acc_mean
29,0.973608,0.04235415,0.00688069,0.019072299290190036,acc_mean
30,0.979862,0.03715301,0.0052723284,0.0146141486905748,acc_mean
31,0.9685801,0.05017669,0.0088941455,0.024653313504752618,acc_mean
32,0.9529203,0.027005142,0.005859536,0.016241805478922046,acc_mean
33,0.9879329,0.056757875,0.006234867,0.017282169693555834,acc_mean
34,0.967562,0.027479885,0.0049492773,0.013718696668087005,acc_mean
35,0.98875755,0.08062025,0.008548199,0.02369439931292981,acc_mean
36,0.9761772,0.029655177,0.0045771673,0.012687260552082183,acc_mean
37,0.9720677,0.031711247,0.005299886,0.014690535111980338,acc_mean
38,0.9835597,0.03823663,0.004902686,0.013589552244171667,acc_mean
39,0.9879922,0.06285313,0.0068874448,0.01909102286959032,acc_mean
40,0.9828965,0.025962932,0.0033954408,0.009411681598414427,acc_mean
41,0.9831585,0.06592007,0.008554757,0.023712575615502177,acc_mean
42,0.97217524,0.046950348,0.007831672,0.02170828781902404,acc_mean
43,0.9788309,0.0327783,0.004769116,0.013219315597846166,acc_mean
44,0.9896194,0.05512475,0.0056164046,0.015567879241499254,acc_mean
45,0.97926146,0.043525778,0.006268096,0.017374276125544305,acc_mean
46,0.7806649,0.008664573,0.0040578987,0.011247921203921235,acc_mean
47,0.98963195,0.09567214,0.0097416835,0.027002568988924013,acc_mean
48,0.8928601,0.012554844,0.0041094804,0.011390898565960992,acc_mean
49,0.98663217,0.107641816,0.012445476,0.034497099200617914,acc_mean
50,0.9814799,0.053415913,0.007269299,0.020149469162248274,acc_mean
51,0.9611513,0.018947823,0.0037346296,0.010351865111727157,acc_mean
52,0.9677904,0.027895553,0.005006422,0.01387709329660379,acc_mean
53,0.9769347,0.015072601,0.002289117,0.006345108826999524,acc_mean
54,0.9857969,0.06409826,0.0076390156,0.021174270837461873,acc_mean
55,0.9627286,0.03363633,0.0064937617,0.017999789015652485,acc_mean
56,0.98811406,0.093377374,0.01018025,0.028218212805916836,acc_mean
57,0.9639316,0.02311171,0.0043893014,0.012166522778080344,acc_mean
58,0.9622281,0.0242865,0.0047200783,0.013083389587954743,acc_mean
59,0.9428207,0.029236004,0.0069909682,0.01937797534128299,acc_mean
60,0.5997239,0.006574858,0.00415974,0.01153021149659875,acc_mean
61,0.8405428,0.008619439,0.0034419224,0.00954052205135577,acc_mean
62,0.97711307,0.032968596,0.00498763,0.01382500519190929,acc_mean
63,0.9901288,0.0613989,0.0061002164,0.016908937222896398,acc_mean
64,0.8050949,0.0070111896,0.0030953041,0.008579745311271923,acc_std
65,0.9000678,0.008983901,0.0028399955,0.007872066033636984,acc_std
66,0.96902084,0.02283352,0.0040189046,0.011139835321155462,acc_std
67,0.8017675,0.010341052,0.004604178,0.012762130345485836,acc_std
68,0.9848236,0.0281394,0.0034665656,0.009608829685813398,acc_std
69,0.98578537,0.020074796,0.0023934206,0.0066342233003119,acc_std
70,0.9682189,0.0077112797,0.001374709,0.0038104988129212566,acc_std
71,0.8582297,0.005543113,0.002087115,0.0057851878391651755,acc_std
72,0.97269166,0.023941394,0.0039563724,0.010966504747122251,acc_std
73,0.8277968,0.0066119246,0.0027437748,0.007605355705467335,acc_std
